id	Name	TestRoom	QuestionAnswerTime	ProbabilityCorrect	HW_1	HW_2	HW_3	HW_4
123456790	Marylee Portis	307	2.5	0.69	85	90	89	87
123456789	Conrade Do	307	1	1	98	97	95	99
123456791	Blondie Jago	304	1	0.6	84	83	79	92
123456792	Joelly Gammidge	302	2.5	0.46	99	100	89	89
123456793	Libbi Duffan	303	1.1	0.66	95	95	93	88
123456794	Marcellina Larham	307	1.9	0.66	98	89	90	89
123456795	Vasili Adnet	303	2.2	0.9	84	83	97	82
123456796	Liuka Wortman	306	1.4	0.95	88	84	99	94
123456797	Caren Male	302	1.6	0.54	82	100	94	97
123456798	Tades A'Barrow	301	2.8	0.52	93	82	93	90
123456799	Menard Lazar	305	2.1	0.88	85	86	87	80
123456800	Jacquetta Flooks	305	1.4	0.81	85	98	89	95
123456801	Andromache Bromage	302	2.6	0.8	86	83	97	80
123456802	Aubine Farrar	308	2.9	0.61	82	82	95	100
123456803	Ed Knifton	306	2	0.61	98	87	79	92
123456804	Katheryn Challender	302	1.9	0.49	98	80	85	80
123456805	Maura Annott	302	1.2	0.92	81	84	83	100
123456806	Claudian Pengelley	306	1.8	0.88	86	97	100	80
123456807	Martita Veronique	306	2.1	0.62	94	85	79	92
123456808	Ivie Isakson	307	2.3	0.73	81	81	90	81
123456809	Randene MacConneely	306	1.2	0.94	93	85	87	83
123456810	Gianina Ilyunin	301	1.2	0.52	98	82	94	87
123456811	Kendrick Cuskery	308	2.8	0.55	80	86	77	92
123456812	Jeanette Strutt	308	1.6	0.72	88	88	77	99
123456813	Lilith Roisen	308	1.9	0.52	99	85	96	83
123456814	Sean Simonds	308	1.3	0.49	88	100	91	91
123456815	Teddi Challes	304	1.4	0.47	96	82	100	98
123456816	Tamra Poston	303	1.6	0.86	80	89	92	83
123456817	Charles Pyer	303	2.2	0.49	82	87	98	78
123456818	Haywood Sunner	308	2.5	0.57	98	96	97	90
123456819	Pepito Rickesies	302	1.1	0.74	91	86	91	98
123456820	Ardelia Brake	304	2.1	0.52	95	99	98	84
123456821	Yettie Curgenuer	307	2	0.48	82	80	91	80
123456822	Jedidiah Screwton	302	2.2	0.83	81	100	80	79
123456823	Rochester Demongeot	307	2.5	0.93	96	92	78	78
123456824	Abagael Hornung	306	2.3	0.63	82	87	79	89
123456825	Laetitia Pickvance	306	1.1	0.66	94	84	80	96
123456826	Pennie Peschet	303	1.9	0.98	91	88	90	96
123456827	Cesya Duesbury	304	2.8	0.63	91	86	91	99
123456828	Didi Mordon	301	2.4	0.86	87	88	92	80
123456829	Dom Raisbeck	301	1.5	0.73	87	84	81	86
123456830	Tilly Felgat	304	2.8	0.45	87	83	83	96
